Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^24.525000,0.003552,0.168582,0.118446,0.298935,10,9
41.068,0.11871,2.221989,-2.774303,1.002536,14,0,,,,,,
41.204,0.126752,2.514832,-1.200962,0.99983,14,0,,,,,,
41.312,0.131755,2.411118,2.989541,1.013953,14,0,,,,,,
41.444,0.129281,2.037178,4.718342,1.013114,2,0,,,,,,
41.556,0.124479,1.454197,3.756694,0.996673,2,0,,,,,,
41.692,0.121154,1.16637,2.536142,0.996556,2,0,,,,,,
41.835,0.118722,0.846479,1.597186,0.998926,2,0,,,,,,
41.972,0.115539,0.648566,1.306538,0.999698,2,0,,,,,,
42.075,0.113946,0.50654,1.195598,0.999995,2,0,,,,,,
42.207,0.10938,0.324899,1.123668,1.000139,2,0,,,,,,
42.315,0.10805,0.179102,0.956201,0.959243,24,-7,,,,,,
42.428,0.103332,-0.108185,2.486061,0.524097,24,0,,,,,,
42.559,0.10841,-0.49251,4.102026,0.517343,24,0,,,,,,
42.666,0.087392,-1.1456,5.298504,0.514016,24,0,,,,,,
42.799,0.078393,-1.76393,6.930151,0.631371,-24,4,,,,,,
42.904,0.04963,-2.946511,7.607454,0.978568,-24,0,,,,,,
43.039,0.034107,-3.58308,3.889109,0.993849,-24,0,,,,,,
43.139,0.033828,-3.757805,-2.110992,1.024999,-24,0,,,,,,
43.27,0.039573,-3.310393,-6.690465,1.045214,-24,0,,,,,,
43.38,0.056307,-2.44298,-4.887896,0.563138,24,-2,,,,,,
43.514,0.037988,-2.061169,-3.119004,0.486472,24,0,,,,,,
43.618,0.053735,-1.852972,-0.478692,0.49587,24,0,,,,,,
43.754,0.039757,-1.938557,1.914282,0.517945,-24,6,,,,,,
43.866,0.036453,-2.617063,5.521364,0.98248,-24,0,,,,,,
44.001,0.036341,-3.19742,1.957592,1.000996,-10,0,,,,,,
44.11,0.033743,-3.23227,-1.355774,1.008697,-10,0,,,,,,
